signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.35,75,35,0.425,-7.500000000000001,68,160,157,3,170,160,0.48484848484848486
0.25,65,20,0.42038216560509556,-7.9617834394904445,66,157,146,11,173,157,0.47575757575757577
0.25,65,25,0.42038216560509556,-7.9617834394904445,66,157,146,11,173,157,0.47575757575757577
0.25,65,30,0.42038216560509556,-7.9617834394904445,66,157,146,11,173,157,0.47575757575757577
0.35,70,30,0.4195804195804196,-8.041958041958042,60,143,138,5,187,143,0.43333333333333335
0.35,70,25,0.4195804195804196,-8.041958041958042,60,143,138,5,187,143,0.43333333333333335
0.35,70,20,0.4195804195804196,-8.041958041958042,60,143,138,5,187,143,0.43333333333333335
0.3,70,35,0.4189189189189189,-8.108108108108109,62,148,142,6,182,148,0.4484848484848485
0.35,70,35,0.41843971631205673,-8.156028368794328,59,141,138,3,189,141,0.42727272727272725
0.25,65,35,0.4117647058823529,-8.823529411764708,63,153,146,7,177,153,0.4636363636363636
0.4,65,20,0.4094488188976378,-9.05511811023622,52,127,123,4,203,127,0.38484848484848483
0.4,65,25,0.4094488188976378,-9.05511811023622,52,127,123,4,203,127,0.38484848484848483
0.4,65,30,0.4094488188976378,-9.05511811023622,52,127,123,4,203,127,0.38484848484848483
0.3,65,25,0.4068965517241379,-9.310344827586208,59,145,135,10,185,145,0.4393939393939394
0.3,65,30,0.4068965517241379,-9.310344827586208,59,145,135,10,185,145,0.4393939393939394
0.3,65,20,0.4068965517241379,-9.310344827586208,59,145,135,10,185,145,0.4393939393939394
0.4,65,35,0.40476190476190477,-9.523809523809524,51,126,123,3,204,126,0.38181818181818183
0.3,65,35,0.3971631205673759,-10.283687943262409,56,141,135,6,189,141,0.42727272727272725
0.35,65,30,0.39705882352941174,-10.294117647058826,54,136,131,5,194,136,0.4121212121212121
0.35,65,25,0.39705882352941174,-10.294117647058826,54,136,131,5,194,136,0.4121212121212121
0.35,65,20,0.39705882352941174,-10.294117647058826,54,136,131,5,194,136,0.4121212121212121
0.35,65,35,0.39552238805970147,-10.447761194029853,53,134,131,3,196,134,0.40606060606060607
