date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_low-volatility
2025-08-29,2,high-volatility,0.9999999991725872,8.275020172614805e-10,1.0012046498965392e-36,0.9999999991725872,0.0
2025-08-30,2,high-volatility,0.9999999939163899,6.083709664727378e-09,8.711252202438653e-38,0.9999999939163899,0.0
2025-08-31,2,high-volatility,0.9999999821811799,1.7818902869501797e-08,6.924565761915466e-40,0.9999999821811799,0.0
2025-09-01,2,high-volatility,0.9999999129045174,8.709546504568086e-08,5.689338175930316e-33,0.9999999129045174,0.0
2025-09-02,2,high-volatility,0.9999999980673238,1.932754738075969e-09,3.468263446256431e-37,0.9999999980673238,0.0
2025-09-03,2,high-volatility,0.9999999996343831,3.656955856454309e-10,2.5363238181120814e-35,0.9999999996343831,0.0
2025-09-04,2,high-volatility,0.9999998633309226,1.3666903370862978e-07,2.8547146530265883e-32,0.9999998633309226,0.0
2025-09-05,2,high-volatility,0.9999999769063381,2.3093552111506485e-08,3.664184227241628e-33,0.9999999769063381,0.0
2025-09-06,2,high-volatility,0.9999999894544089,1.0545479476557121e-08,3.7007426380432295e-33,0.9999999894544089,0.0
2025-09-07,2,high-volatility,0.9999999965448296,3.455266532008375e-09,1.2136119145888162e-33,0.9999999965448296,0.0
2025-09-08,2,high-volatility,0.9999999982005647,1.7994903906116135e-09,2.1393031803109077e-33,0.9999999982005647,0.0
2025-09-09,2,high-volatility,0.9999999990452579,9.548455524122544e-10,1.3062124471589446e-33,0.9999999990452579,0.0
2025-09-10,2,high-volatility,0.9999999959950401,4.0049501318251784e-09,9.314852364842547e-33,0.9999999959950401,0.0
2025-09-11,2,high-volatility,0.9989324673065667,0.001067532693544732,8.399913788101007e-28,0.9989324673065667,0.0
2025-09-12,2,high-volatility,0.9997864305935066,0.00021356940660514258,4.760016803854889e-28,0.9997864305935066,0.0
2025-09-13,2,high-volatility,0.9989758859604728,0.0010241140394234682,1.8868868256933934e-27,0.9989758859604728,0.0
2025-09-14,2,high-volatility,0.9999898285753961,1.0171424616049813e-05,7.221658687001067e-30,0.9999898285753961,0.0
2025-09-15,2,high-volatility,0.9992392116446827,0.0007607883552728306,9.463340864505519e-28,0.9992392116446827,0.0
2025-09-16,2,high-volatility,0.9999174547814024,8.254521866265179e-05,2.4719099025114758e-29,0.9999174547814024,0.0
2025-09-17,2,high-volatility,0.9998660235431348,0.0001339764568568284,9.296485723143173e-29,0.9998660235431348,0.0
2025-09-18,2,high-volatility,0.999999985254135,1.474597077033331e-08,6.030358717557525e-30,0.999999985254135,0.0
2025-09-19,2,high-volatility,0.9999999499084437,5.009162653356746e-08,3.2084747074832973e-29,0.9999999499084437,0.0
2025-09-20,2,high-volatility,0.9999998013029396,1.9869697406397985e-07,2.7224135121742255e-29,0.9999998013029396,0.0
2025-09-21,2,high-volatility,0.9999997661628004,2.3383725164978623e-07,1.9090076219899112e-29,0.9999997661628004,0.0
2025-09-22,2,high-volatility,0.9999976098141731,2.3901857486740624e-06,1.0265195191292044e-28,0.9999976098141731,0.0
2025-09-23,2,high-volatility,0.999999796446921,2.0355298467624804e-07,1.0204636745358534e-29,0.999999796446921,0.0
2025-09-24,2,high-volatility,0.9999999582112205,4.178873087270331e-08,1.3757592378195376e-30,0.9999999582112205,0.0
2025-09-25,2,high-volatility,0.999999984842134,1.515784688231892e-08,3.306348252034322e-31,0.999999984842134,0.0
2025-09-26,2,high-volatility,0.9999999598521762,4.0147776631566153e-08,2.507637834326642e-31,0.9999999598521762,0.0
2025-09-27,2,high-volatility,0.9999999249969306,7.500312378499289e-08,3.131944925328522e-31,0.9999999249969306,0.0
2025-09-28,2,high-volatility,0.9999999457568279,5.424308959878071e-08,1.175902042382435e-31,0.9999999457568279,0.0
2025-09-29,2,high-volatility,0.9999997568695858,2.4313030109653906e-07,4.531556971432737e-31,0.9999997568695858,0.0
2025-09-30,2,high-volatility,0.9999996351092006,3.6489072716628863e-07,8.022684216166183e-31,0.9999996351092006,0.0
2025-10-01,2,high-volatility,0.9999999726983336,2.7301750245224097e-08,1.2443258691672134e-32,0.9999999726983336,0.0
2025-10-02,2,high-volatility,0.9999999839885733,1.6011529205297596e-08,5.854821410952552e-33,0.9999999839885733,0.0
2025-10-03,2,high-volatility,0.9999999359670275,6.403303753545385e-08,6.883582019891541e-32,0.9999999359670275,0.0
2025-10-04,2,high-volatility,0.9999999759593269,2.4040574568799915e-08,2.6388751035910065e-32,0.9999999759593269,0.0
2025-10-05,2,high-volatility,0.9999999974322691,2.567844231310644e-09,5.9712553287371415e-34,0.9999999974322691,0.0
2025-10-06,2,high-volatility,0.9999999943975126,5.602550122723646e-09,1.1083320901828765e-33,0.9999999943975126,0.0
2025-10-07,2,high-volatility,0.9999965918685899,3.408131508376647e-06,1.0998742626044092e-35,0.9999965918685899,0.0
2025-10-08,0,bear,0.9964229125868928,0.9964229125868928,7.122586126330179e-37,0.0035770874132032846,0.0
2025-10-09,0,bear,0.9997535578697391,0.9997535578697391,1.2553158458777795e-34,0.0002464421303096117,0.0
2025-10-10,0,bear,0.9999998545615759,0.9999998545615759,3.539429424387752e-50,1.4543845599506698e-07,0.0
2025-10-11,0,bear,0.999978392063382,0.999978392063382,5.446662533827696e-50,2.160793655024974e-05,0.0
2025-10-12,0,bear,0.9971529342018227,0.9971529342018227,1.0576414115246003e-47,0.002847065798180955,0.0
2025-10-13,2,high-volatility,0.7525787341488336,0.2474212658512411,1.3556890471720558e-41,0.7525787341488336,0.0
2025-10-14,2,high-volatility,0.9997714848729291,0.0002285151270730217,6.510692568262466e-51,0.9997714848729291,0.0
2025-10-15,2,high-volatility,0.9999936507462392,6.349253777380859e-06,1.5755193979490988e-56,0.9999936507462392,0.0
2025-10-16,2,high-volatility,0.9997806235975728,0.0002193764024703989,8.778611426914689e-44,0.9997806235975728,0.0
2025-10-17,2,high-volatility,0.9999972956864172,2.704313663489073e-06,3.17000892652058e-45,0.9999972956864172,0.0
2025-10-18,2,high-volatility,0.9999987215395764,1.2784605211581383e-06,2.420479247672003e-44,0.9999987215395764,0.0
2025-10-19,2,high-volatility,0.9999994122974294,5.877026524790629e-07,3.3906402815264758e-43,0.9999994122974294,0.0
2025-10-20,2,high-volatility,0.9999994621033775,5.378965096946995e-07,1.0585017741693317e-43,0.9999994621033775,0.0
2025-10-21,2,high-volatility,0.999999964595873,3.5404101189118654e-08,2.2415019508697945e-41,0.999999964595873,0.0
2025-10-22,2,high-volatility,0.999999992858875,7.141050812536681e-09,2.6664331395622033e-38,0.999999992858875,0.0
2025-10-23,2,high-volatility,0.9999999192800747,8.071995752478907e-08,9.000594456051445e-36,0.9999999192800747,0.0
2025-10-24,2,high-volatility,0.9999999935159849,6.484095808764467e-09,7.091602761714944e-39,0.9999999935159849,0.0
2025-10-25,2,high-volatility,0.9999999996123279,3.8763662852009814e-10,6.302535796399815e-39,0.9999999996123279,0.0
2025-10-26,2,high-volatility,0.9999999998822204,1.176703563617224e-10,1.4977082730497525e-38,0.9999999998822204,0.0
2025-10-27,2,high-volatility,0.9999999998951807,1.0474219084719584e-10,1.863189671310862e-41,0.9999999998951807,0.0
2025-10-28,2,high-volatility,0.9999999999035936,9.640236410016257e-11,1.686126208618568e-41,0.9999999999035936,0.0
2025-10-29,2,high-volatility,0.9999999716260395,2.8373979603530562e-08,4.3445294473253036e-43,0.9999999716260395,0.0
2025-10-30,2,high-volatility,0.9999999436472551,5.6352856524149145e-08,9.713673000587004e-42,0.9999999436472551,0.0
2025-10-31,2,high-volatility,0.9999997245716183,2.754283475047365e-07,1.895607392930022e-43,0.9999997245716183,0.0
2025-11-01,2,high-volatility,0.9999978538317302,2.1461682496309093e-06,8.925324346170368e-48,0.9999978538317302,0.0
2025-11-02,2,high-volatility,0.9990352011905503,0.0009647988093645993,3.66480336678893e-41,0.9990352011905503,0.0
2025-11-03,2,high-volatility,0.9972686230149164,0.0027313769850187976,3.5518538624519504e-35,0.9972686230149164,0.0
