date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-09-21,4,low-volatility,0.9999999999947704,4.187137470130883e-48,0.0,0.9999999999947704
2025-09-22,4,low-volatility,1.0,4.911236011590557e-41,0.0,1.0
2025-09-23,4,low-volatility,0.9999999999990905,5.963948775870248e-38,0.0,0.9999999999990905
2025-09-24,0,sideways,0.9999999857775492,2.161519874675564e-31,5.2672511163438325e-71,1.4222528537863947e-08
2025-09-25,0,sideways,0.999999910445244,1.064484866906399e-30,8.391394918924877e-159,8.955476031520825e-08
2025-09-26,0,sideways,0.9999991350709126,6.993373164457141e-36,1.6513223194969774e-154,8.649291271319163e-07
2025-09-27,0,sideways,0.9999993372386975,1.1428938615618323e-33,1.6063552876940382e-157,6.627612784631858e-07
2025-09-28,0,sideways,0.999999694300915,1.2358670339616522e-30,7.890764782599411e-151,3.0569919656755854e-07
2025-09-29,0,sideways,0.9999999952003691,1.3774915949861829e-27,1.6968800767235538e-156,4.799682813214675e-09
2025-09-30,0,sideways,0.9999999832327832,4.2202037372317723e-29,1.0558307098492146e-165,1.676717484694349e-08
2025-10-01,0,sideways,0.999999983975613,2.0838977334564213e-26,1.076756438424058e-161,1.60243406193599e-08
2025-10-02,0,sideways,0.9999999949704943,1.279865388242834e-23,1.336758142890288e-157,5.0294168977976e-09
2025-10-03,0,sideways,1.0,8.025402822684165e-22,1.8883290670848696e-145,2.068609873617233e-15
2025-10-04,0,sideways,1.0,1.0485031224451324e-22,3.4455931837049676e-138,1.5139189544387272e-14
2025-10-05,0,sideways,1.0,2.1687395300214305e-20,2.0658434817388363e-132,1.2360034449757984e-14
2025-10-06,0,sideways,1.0,6.728047315902491e-18,6.021943406066758e-137,7.41143149709356e-14
2025-10-07,0,sideways,0.9999999999997726,1.0084706635986378e-16,9.504041479341126e-154,3.866464412302986e-14
2025-10-08,0,sideways,0.9999999999884039,1.2457842555777784e-15,1.2091690177281237e-157,1.1493211456951691e-13
2025-10-09,0,sideways,0.999999999849706,3.246160638964342e-16,8.427935603860415e-160,7.057515229956265e-13
2025-10-10,0,sideways,0.9999999764611405,7.945927748358364e-17,6.033934955699345e-213,2.3483490581224446e-08
2025-10-11,0,sideways,0.9999999251269883,2.4692033282617262e-15,2.2000971113394426e-206,7.487297423526409e-08
2025-10-12,0,sideways,0.9999999641593156,8.578166683189313e-14,2.0394343545521382e-200,3.583970691302653e-08
