date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-07-22,0,sideways,0.9999999994988684,0.9999999994988684,5.011812169277421e-10,1.5988014687004169e-22,2.0135218786455278e-42,1.4377500850026534e-24
2025-07-23,1,bull,1.0,1.8182930778421723e-16,1.0,9.69042679627123e-26,7.47861364481716e-136,1.1541063759569267e-26
2025-07-24,1,bull,0.9999999479837256,1.0157055763102655e-09,0.9999999479837256,5.1000576048589944e-08,4.779871285104437e-160,2.7486753184708886e-18
2025-07-25,1,bull,0.9999985278897761,3.1450447558668445e-10,0.9999985278897761,1.4717956339380574e-06,4.637319882993521e-155,8.706106655503734e-20
2025-07-26,1,bull,0.9999982687656008,6.518517142902929e-11,0.9999982687656008,1.7311691471067112e-06,1.4781611855663688e-156,1.629255574645085e-19
2025-07-27,1,bull,0.999977930408042,4.32457193666492e-11,0.999977930408042,2.2069548756855544e-05,7.612146682203668e-190,6.969159663449956e-21
2025-07-28,1,bull,0.9985630088471564,7.778060012501968e-14,0.9985630088471564,0.001436991152717301,3.481416694925264e-215,3.434352269812667e-21
2025-07-29,2,bear,0.9877137491774637,2.0036967694101626e-14,0.012286250822577968,0.9877137491774637,7.286546149130269e-191,9.260309897307414e-21
2025-07-30,2,bear,0.999992909822037,1.7975711651930911e-16,7.090177911273126e-06,0.999992909822037,4.5167407478424216e-194,2.4096518677385332e-24
2025-07-31,2,bear,0.9999957538197233,1.8095875846407358e-16,4.2461803491022274e-06,0.9999957538197233,1.0373457124486441e-193,9.634819565264468e-27
2025-08-01,2,bear,0.9999999751748877,7.269062595427808e-17,2.4825108894777462e-08,0.9999999751748877,5.034227967599961e-178,4.166899419138462e-28
2025-08-02,2,bear,0.999999998491603,3.484210042174239e-18,1.5085082498246156e-09,0.999999998491603,1.3165781165972917e-186,1.05908392070399e-31
2025-08-03,2,bear,0.9999999993347046,1.438948331616257e-18,6.653574335156607e-10,0.9999999993347046,2.4357153847922976e-185,1.4392129643646962e-33
2025-08-04,2,bear,0.9999980211847767,6.319964496236517e-18,1.97881517352979e-06,0.9999980211847767,1.6382362770437283e-171,9.62576981215016e-28
2025-08-05,2,bear,0.9999996180800556,3.552637817185515e-17,3.8191984104727754e-07,0.9999996180800556,2.1354256880631252e-162,1.116802722529168e-24
2025-08-06,2,bear,0.9999912352336497,2.500098839973771e-14,8.764766286800118e-06,0.9999912352336497,7.10369212060051e-167,7.686405972233107e-24
2025-08-07,2,bear,0.9952201775380164,2.4694588987486185e-10,0.004779822214997061,0.9952201775380164,4.1521978337172206e-150,1.2254540448272155e-22
2025-08-08,1,bull,0.9942924813921223,3.003768196737255e-10,0.9942924813921223,0.005707518304171928,3.168253448895663e-137,3.268682163013908e-12
2025-08-09,1,bull,0.998348113102515,9.518576267019442e-09,0.998348113102515,0.0016518773459950947,1.9622882711021806e-121,3.2898610946468965e-11
2025-08-10,1,bull,0.999951333956301,1.2566262204166543e-07,0.999951333956301,4.853997728510704e-05,1.5981284492563628e-126,4.0376644972603757e-10
2025-08-11,1,bull,0.9977745200060111,0.0022254645327084233,0.9977745200060111,1.0890223323036704e-09,6.393922545872656e-171,1.4372289054355427e-08
2025-08-12,0,sideways,0.987203351039941,0.987203351039941,0.012521255746030536,1.6100830473727365e-21,2.1249367685884483e-107,0.00027539321406778994
2025-08-13,0,sideways,0.9997977128608362,0.9997977128608362,0.00020010776875659862,7.39875867572042e-18,2.0857992579007676e-80,2.1793703455544057e-06
2025-08-14,0,sideways,0.9999609685467473,0.9999609685467473,3.860897045046259e-05,2.7651343102223255e-22,4.951077624562734e-86,4.2248290501947796e-07
2025-08-15,0,sideways,0.999992003405309,0.999992003405309,3.945756505586446e-06,1.6886840739461205e-18,2.8918632045059634e-70,4.050838112461231e-06
2025-08-16,0,sideways,0.9999920690364251,0.9999920690364251,5.9163403204974186e-06,1.1235880476898834e-17,2.7754807896490555e-63,2.0146232463955055e-06
2025-08-17,0,sideways,0.999986018807216,0.999986018807216,7.347768717442881e-06,4.0929120616717436e-16,5.783132663216056e-56,6.633423990926712e-06
2025-08-18,0,sideways,0.999940768375683,0.999940768375683,2.0397543107835385e-06,1.30431010542599e-12,2.331978030199805e-43,5.719186875206845e-05
