date,state,regime,confidence,prob_sideways,prob_bull,prob_high-volatility,prob_low-volatility
2025-07-25,1,bull,0.9114550092213527,1.0498236862392674e-32,0.9114550092213527,0.0,2.7933384109219704e-24
2025-07-26,1,bull,0.9104388313569558,2.140484403530636e-33,0.9104388313569558,0.0,7.596258206208745e-24
2025-07-27,1,bull,0.9280359714745511,6.1559217945082215e-37,0.9280359714745511,0.0,5.1712433364284916e-24
2025-07-28,1,bull,0.9595352856555962,1.0104817935833445e-39,0.9595352856555962,0.0,9.299985702212112e-28
2025-07-29,1,bull,0.9999373799929148,7.80959433532517e-192,0.9999373799929148,0.0,1.511300304699119e-53
2025-07-30,1,bull,0.9999999192225492,2.891012592510108e-237,0.9999999192225492,0.0,2.740521650610295e-105
2025-07-31,1,bull,0.9999999957994987,5.137315997371979e-277,0.9999999957994987,0.0,5.572469226473439e-154
2025-08-01,1,bull,0.9999999999372449,0.0,0.9999999999372449,0.0,1.5387809438596403e-198
2025-08-02,1,bull,0.9999999999877218,0.0,0.9999999999877218,0.0,2.3297290318319745e-249
2025-08-03,1,bull,0.9999999999990905,0.0,0.9999999999990905,0.0,2.9018912099057764e-288
2025-08-04,1,bull,0.9999999999997726,0.0,0.9999999999997726,0.0,6.0784315249905e-302
2025-08-05,1,bull,0.9999999999995453,0.0,0.9999999999995453,0.0,2.371256027643831e-290
2025-08-06,1,bull,0.9999999999993179,0.0,0.9999999999993179,0.0,1.495674046811857e-304
2025-08-07,1,bull,0.9999999999997726,0.0,0.9999999999997726,0.0,2.8187039911461113e-294
2025-08-08,1,bull,0.9999999999986358,0.0,0.9999999999986358,0.0,5.143726326956963e-270
2025-08-09,1,bull,0.9999999999643023,0.0,0.9999999999643023,0.0,3.047834111638729e-243
2025-08-10,1,bull,0.9999999993870006,0.0,0.9999999993870006,0.0,1.0586406972509692e-212
2025-08-11,1,bull,0.9999999985702743,0.0,0.9999999985702743,0.0,7.540757218234196e-178
2025-08-12,1,bull,0.999999984455144,2.5061190929979592e-307,0.999999984455144,0.0,7.715790426311795e-140
2025-08-13,1,bull,0.9999985820605665,1.5810032813017196e-290,0.9999985820605665,0.0,5.845856696924178e-116
2025-08-14,1,bull,0.9999050258174191,1.47171245812189e-252,0.9999050258174191,0.0,4.645214621010558e-81
2025-08-15,1,bull,0.8929691483101824,1.1730779953935907e-222,0.8929691483101824,0.0,7.430860713456666e-45
2025-08-16,0,sideways,0.9719363968794167,3.029718413009481e-180,0.028063603120662056,0.0,1.642667672246942e-17
2025-08-17,0,sideways,0.9999616749980806,1.3449503806687302e-109,3.832500183682722e-05,0.0,1.7572639534507306e-19
2025-08-18,0,sideways,0.9799009057589798,6.538167619294636e-26,0.020099091078755273,0.0,3.1623031100443267e-09
2025-08-19,0,sideways,0.7281331645555783,4.336200003197298e-31,0.27186683544432866,0.0,1.247075720127229e-16
2025-08-20,1,bull,0.7724457027278852,3.826276367233235e-46,0.7724457027278852,0.0,2.8429552297643754e-28
2025-08-21,1,bull,0.9916857378095277,2.4650325302471852e-57,0.9916857378095277,0.0,1.4069775112859722e-59
2025-08-22,1,bull,0.9999548464671977,9.653023269856249e-79,0.9999548464671977,0.0,2.0388176133640644e-70
2025-08-23,1,bull,0.9999929420131469,7.34587955400348e-94,0.9999929420131469,0.0,2.82965708523064e-88
2025-08-24,1,bull,0.9999980268604671,2.131888098804488e-100,0.9999980268604671,0.0,8.157843729892168e-102
2025-08-25,1,bull,0.9999988712524559,6.488627679262378e-119,0.9999988712524559,0.0,7.600840065187248e-88
2025-08-26,1,bull,0.9999949251474923,5.744376303119038e-117,0.9999949251474923,0.0,1.5137887118328071e-87
2025-08-27,1,bull,0.9999954262200396,2.536579287004514e-115,0.9999954262200396,0.0,6.2865578696771884e-99
2025-08-28,1,bull,0.999996012984174,8.631566075655912e-115,0.999996012984174,0.0,4.659520419227227e-96
2025-08-29,1,bull,0.9999961121544036,3.2975462972813577e-109,0.9999961121544036,0.0,4.4797443595742215e-91
2025-08-30,1,bull,0.9999913266959596,2.0011198632042214e-104,0.9999913266959596,0.0,4.475121045221864e-85
2025-08-31,1,bull,0.9999828237363936,1.0431445637480398e-103,0.9999828237363936,0.0,3.3791231553871445e-85
2025-09-01,1,bull,0.9998828335261604,3.011164307643614e-91,0.9998828335261604,0.0,5.421800908353036e-82
2025-09-02,1,bull,0.9994163376697208,2.4757197253331317e-82,0.9994163376697208,0.0,2.1134850418864408e-71
2025-09-03,1,bull,0.9633712213221681,1.9246655005902516e-78,0.9633712213221681,0.0,1.1350249098599809e-59
2025-09-04,1,bull,0.7130528543631006,3.3508581819092504e-58,0.7130528543631006,0.0,7.530407122768799e-43
2025-09-05,0,sideways,0.9946834165812112,3.128792918209163e-48,0.005316583418709655,0.0,3.36046266775421e-14
2025-09-06,4,low-volatility,0.9406744027559861,3.489542288745633e-34,3.7826590376924353e-07,0.0,0.9406744027559861
2025-09-07,4,low-volatility,0.99388859783221,6.35963514854863e-38,3.463486612921417e-10,0.0,0.99388859783221
2025-09-08,4,low-volatility,0.9981609763174419,1.2412266888211377e-37,2.7419798200449943e-10,0.0,0.9981609763174419
2025-09-09,4,low-volatility,0.9932962192413803,5.4834758038897494e-36,3.6115718802043648e-09,0.0,0.9932962192413803
2025-09-10,4,low-volatility,0.8781147798055625,8.528004127791944e-45,1.4073892876913434e-09,0.0,0.8781147798055625
2025-09-11,0,sideways,0.9999749367599121,5.652273248530988e-57,5.092001638872124e-11,0.0,2.506318914869882e-05
2025-09-12,0,sideways,0.9999996985084635,6.083203783111254e-54,1.036943719820545e-09,0.0,3.004546045854924e-07
2025-09-13,0,sideways,0.9999994282178974,4.287577339895484e-41,3.3173901193644806e-07,0.0,2.400431282115149e-07
2025-09-14,1,bull,0.8600174760945559,4.1469230532884097e-10,0.8600174760945559,0.0,2.700101221255775e-29
2025-09-15,1,bull,0.9929247789564463,3.223194400518535e-14,0.9929247789564463,0.0,1.4040159071189574e-41
2025-09-16,1,bull,0.9998144358288916,2.908115300097794e-31,0.9998144358288916,0.0,2.7156355547372656e-48
2025-09-17,1,bull,0.9999906370898717,5.522614783428652e-26,0.9999906370898717,0.0,1.6388737226322087e-56
2025-09-18,1,bull,0.9995715232419501,2.5557642355660997e-45,0.9995715232419501,0.0,1.086765895110581e-41
2025-09-19,1,bull,0.994143303734687,1.277274111673429e-38,0.994143303734687,0.0,1.6637290841831766e-35
2025-09-20,1,bull,0.9766855606983863,5.545445246605115e-34,0.9766855606983863,0.0,1.0858423772055356e-31
2025-09-21,1,bull,0.9162152234805861,5.462205970643731e-34,0.9162152234805861,0.0,1.2559988457648862e-24
2025-09-22,1,bull,0.8552446695776436,8.862100953147253e-43,0.8552446695776436,0.0,4.350884807611688e-19
2025-09-23,1,bull,0.8739812065307669,1.4523025161003648e-34,0.8739812065307669,0.0,1.308748663797099e-17
2025-09-24,1,bull,0.9153632885437674,1.7831542292077996e-63,0.9153632885437674,0.0,1.831442636453908e-19
2025-09-25,1,bull,0.9408692826142998,2.6208608474215286e-73,0.9408692826142998,0.0,9.614617769916552e-29
2025-09-26,1,bull,0.9234842849598912,4.6496247561074473e-66,0.9234842849598912,0.0,7.008103889084726e-20
2025-09-27,1,bull,0.9312887841398059,2.3182196339670167e-61,0.9312887841398059,0.0,3.464485482586951e-24
2025-09-28,1,bull,0.9507936694142666,2.445827824812915e-62,0.9507936694142666,0.0,4.1739562165711895e-28
2025-09-29,1,bull,0.9761362233628069,1.4537895534918024e-80,0.9761362233628069,0.0,7.854888337591621e-29
2025-09-30,1,bull,0.9922194045934529,2.930672540282593e-70,0.9922194045934529,0.0,1.232014971097022e-35
2025-10-01,1,bull,0.9973321374732859,3.877895278441511e-70,0.9973321374732859,0.0,2.636842022937867e-44
2025-10-02,1,bull,0.9987943227830526,6.456952059683033e-73,0.9987943227830526,0.0,2.5972860239772807e-50
2025-10-03,1,bull,0.9981771722342047,2.719902332744235e-80,0.9981771722342047,0.0,7.120480759620431e-51
2025-10-04,1,bull,0.9885540373716623,5.711137194243033e-76,0.9885540373716623,0.0,8.87962185737319e-46
2025-10-05,1,bull,0.9186492218025769,3.0908398208163085e-57,0.9186492218025769,0.0,1.343588765266711e-34
2025-10-06,1,bull,0.7445677756278734,7.959670293116854e-49,0.7445677756278734,0.0,2.3206471157655606e-35
2025-10-07,0,sideways,0.7390964516840124,6.018048766663408e-41,0.26090354831591334,0.0,1.4047082014824213e-29
2025-10-08,0,sideways,0.9743702343721397,2.538147410679027e-38,0.025629765627915458,0.0,1.5522915443412382e-30
2025-10-09,0,sideways,0.9998422833351601,1.0788761084465752e-34,0.00015771666494200813,0.0,1.062580598699628e-33
2025-10-10,0,sideways,0.9999273603227171,1.2476133896473324e-34,7.263967737727568e-05,0.0,4.865035686077707e-20
2025-10-11,0,sideways,0.9999541296722504,1.3799069463036363e-26,4.587032768792509e-05,0.0,8.625300336758512e-20
2025-10-12,0,sideways,0.9999780063944227,1.299207131825425e-20,2.1993605522115892e-05,0.0,2.8900388400266193e-22
2025-10-13,0,sideways,0.9999830927262362,6.147591637690071e-15,1.6907273722420224e-05,0.0,5.693198666991312e-22
2025-10-14,0,sideways,0.9999689736496065,6.2165638256566936e-09,3.102013392179338e-05,0.0,1.6273961925740008e-19
2025-10-15,0,sideways,0.9998789639154677,2.0668546340568297e-19,0.00012103608442334032,0.0,1.7100441644865782e-16
2025-10-16,0,sideways,0.9998176489090467,9.891565291950627e-18,0.00018235109087117804,0.0,1.641158286426028e-23
2025-10-17,0,sideways,0.9994757133156856,8.175824392909732e-22,0.000524286684201495,0.0,4.3328368401343684e-19
2025-10-18,0,sideways,0.9977083998149885,2.159972213980256e-28,0.002291600185066595,0.0,1.1924349972653551e-20
2025-10-19,0,sideways,0.9890289339780179,8.094957336574968e-38,0.010971066021976705,0.0,3.685863339327576e-28
2025-10-20,0,sideways,0.9827009106897789,5.274767496146855e-47,0.017299089310192223,0.0,2.6854706269420987e-26
2025-10-21,0,sideways,0.9844905863615769,1.2462477329749679e-44,0.015509413638046919,0.0,3.5855149632095886e-13
2025-10-22,0,sideways,0.9965063758750559,8.300370259376375e-42,0.0034936238006907008,0.0,3.2435514059224396e-10
2025-10-23,0,sideways,0.9987826668040869,4.935862988761512e-43,0.0012173016178681068,0.0,3.157815401843045e-08
2025-10-24,0,sideways,0.9991428541318514,8.986900208703313e-35,0.0008565847215419049,0.0,5.611466383234415e-07
2025-10-25,0,sideways,0.9982950853141886,6.830173916622007e-34,0.00026038723631782257,0.0,0.0014445274494449772
2025-10-26,0,sideways,0.6421745696882398,1.0866207561292552e-33,1.995945953884871e-06,0.0,0.3578234343658612
2025-10-27,4,low-volatility,0.9909581788131426,1.7882769765289371e-37,2.9265523097507927e-08,0.0,0.9909581788131426
2025-10-28,4,low-volatility,0.9987199834016961,1.6365960425025389e-34,3.6599905792684194e-11,0.0,0.9987199834016961
2025-10-29,4,low-volatility,0.9997740646379008,1.849130421287625e-40,9.829814667507936e-12,0.0,0.9997740646379008
2025-10-30,4,low-volatility,0.9999117099188651,1.374428105265461e-38,1.1020686828185463e-12,0.0,0.9999117099188651
2025-10-31,4,low-volatility,0.9999575425897868,9.040063356667364e-35,3.0517471662388536e-13,0.0,0.9999575425897868
2025-11-01,4,low-volatility,0.9999720791953058,2.4070468467539744e-33,1.6733988799473815e-13,0.0,0.9999720791953058
2025-11-02,4,low-volatility,0.9999356609728852,1.6897636632459736e-36,2.6369621898396556e-13,0.0,0.9999356609728852
2025-11-03,4,low-volatility,0.9999163402807675,1.1779433488766043e-29,1.4745281328694606e-13,0.0,0.9999163402807675
2025-11-04,4,low-volatility,0.999964065296734,3.433387712058971e-32,2.11137437804087e-14,0.0,0.999964065296734
2025-11-05,4,low-volatility,0.9999816285047031,1.3198538342859982e-31,2.2485755447905104e-14,0.0,0.9999816285047031
2025-11-06,4,low-volatility,0.9999410210338382,1.972862475725122e-24,2.0966512094439398e-13,0.0,0.9999410210338382
2025-11-07,4,low-volatility,0.9999037067767629,6.277708888272613e-29,3.4237985898301675e-11,0.0,0.9999037067767629
2025-11-08,4,low-volatility,0.9943156326072767,1.3982705912381658e-26,3.352367243309664e-09,0.0,0.9943156326072767
2025-11-09,0,sideways,0.610228288272342,1.4317632862309566e-33,1.8727638596481134e-06,0.0,0.3897698389638125
2025-11-10,0,sideways,0.9994985122251125,6.925167355746373e-24,0.0005014877581565992,0.0,1.6627983862138316e-11
2025-11-11,0,sideways,0.9982927582369021,4.275433801282651e-29,0.0017072417631312626,0.0,2.03163747222383e-15
2025-11-12,0,sideways,0.9970898978959349,2.737208275022299e-30,0.0029101021041785303,0.0,6.291870478344588e-26
2025-11-13,0,sideways,0.9977193022912979,3.460415647412749e-22,0.00228069770870715,0.0,7.508832789375292e-22
2025-11-14,0,sideways,0.9985243321365457,1.466893597296421e-14,0.0014756678635218451,0.0,1.504821496142196e-20
2025-11-15,0,sideways,0.9992087408751037,1.8366022462400376e-14,0.0007912591248232353,0.0,1.2301810887798398e-18
2025-11-16,0,sideways,0.9996595104834094,1.0981424288939619e-07,0.0003403797022363978,0.0,2.35413967073331e-25
2025-11-17,0,sideways,0.9997099623391634,0.0002826347073698256,7.4029534802492055e-06,0.0,7.700506358014296e-30
2025-11-18,3,sideways,0.9301878949176883,0.9301878949176883,5.1594793834963525e-08,0.0,1.0867655754929381e-45
2025-11-19,3,sideways,0.9991890198262962,0.9991890198262962,2.0355037197803954e-09,0.0,1.0294380759682494e-35
2025-11-20,3,sideways,0.9999845154894196,0.9999845154894196,8.796060031432006e-11,0.0,1.191573937696791e-37
2025-11-21,3,sideways,0.9999997524865045,0.9999997524865045,4.098714019146427e-11,0.0,6.756219149603932e-41
2025-11-22,3,sideways,0.9999999967010353,0.9999999967010353,5.725539162660464e-11,0.0,8.323981773422665e-42
2025-11-23,3,sideways,0.9999999997787654,0.9999999997787654,9.941937385267208e-11,0.0,2.4787456449574662e-34
2025-11-24,3,sideways,0.9999999997896794,0.9999999997896794,1.102879750890396e-10,0.0,1.7248570754767783e-35
2025-11-25,3,sideways,0.9999999998067324,0.9999999998067324,8.108165246798469e-11,0.0,2.7379638908802773e-35
