date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_sideways,prob_low-volatility
2025-09-01,4,low-volatility,0.9999997596051178,2.4039482032343314e-07,2.0034503641759486e-20,2.3370438877433776e-58,4.178123443920015e-31,0.9999997596051178
2025-09-02,4,low-volatility,0.9988325586193854,0.0011674413805457917,1.696588566714123e-26,3.9396881527066665e-47,1.3400688788335602e-26,0.9988325586193854
2025-09-03,0,bear,0.931137854788611,0.931137854788611,1.1962687319356738e-18,4.650313097254667e-49,1.2193811930556518e-19,0.06886214521142837
2025-09-04,0,bear,0.9999906913063911,0.9999906913063911,7.361879516575335e-16,6.202670360750983e-39,3.0224943170503497e-12,9.30869052156361e-06
2025-09-05,0,bear,0.9999999710121306,0.9999999710121306,6.447158453138953e-15,5.11368052660913e-38,2.8987843136973973e-08,8.341310341691821e-16
2025-09-06,0,bear,0.999998751061055,0.999998751061055,9.556809701369898e-07,1.6201288378488687e-37,2.9325802074501395e-07,8.190123144303011e-24
2025-09-07,0,bear,0.9999998216774361,0.9999998216774361,6.15210533979112e-09,6.344087828572396e-39,1.5081270627016488e-09,1.706624254493325e-07
2025-09-08,0,bear,0.9999622706824065,0.9999622706824065,4.285673592614014e-08,1.0548723524620677e-40,1.0054774040006964e-10,3.768636032073679e-05
2025-09-09,0,bear,0.9999945541233541,0.9999945541233541,4.538487665097854e-06,7.74706770527614e-37,7.303154696006478e-11,9.073160058239663e-07
2025-09-10,0,bear,0.9877325514983983,0.9877325514983983,0.012267445140190923,2.3333779706781527e-37,2.26879008086876e-09,1.0925261387383847e-09
2025-09-11,1,bull,0.8227551990600788,0.17724480069770945,0.8227551990600788,1.3861652625957164e-35,2.422378068168792e-10,1.0861221524289323e-23
2025-09-12,1,bull,0.9985985594890223,0.001401440499222047,0.9985985594890223,8.677545668605688e-34,1.1816783877555563e-11,1.4694621496301042e-30
2025-09-13,1,bull,0.9999994466165102,5.533835686226619e-07,0.9999994466165102,6.572381309603411e-31,3.5462801481085656e-15,3.733126054417382e-39
2025-09-14,1,bull,0.9999999635244883,3.647550230076998e-08,0.9999999635244883,2.1461535882701617e-34,3.4083999799264053e-18,4.882493657769014e-37
2025-09-15,1,bull,0.9999999568526627,4.3147225992832224e-08,0.9999999568526627,5.995946373556889e-29,1.8653625907811892e-23,3.5884575709907436e-30
2025-09-16,1,bull,0.9999999999490683,5.087335298366089e-11,0.9999999999490683,6.561459858170752e-34,3.34642609444817e-24,3.757875350496483e-46
2025-09-17,1,bull,1.0,1.4731889361048123e-15,1.0,9.111265939770403e-35,7.424966869746448e-29,1.4674508649297209e-74
2025-09-18,1,bull,1.0,1.0646138834445312e-15,1.0,1.9726665927279033e-30,4.753938746409981e-31,8.989154484753082e-85
2025-09-19,1,bull,1.0,1.2464500800175591e-17,1.0,2.1142444517642392e-30,6.504151569338983e-29,1.1479485969761062e-76
2025-09-20,1,bull,0.9999999999997726,1.4828152504982637e-13,0.9999999999997726,1.833508381534609e-27,5.964743679192488e-30,9.060821575040804e-61
2025-09-21,1,bull,0.9999999997226041,2.773031086651032e-10,0.9999999997226041,4.5287206301304466e-26,6.545594783041347e-25,2.3110237220016522e-45
2025-09-22,1,bull,0.9999999890064828,1.0993540456514647e-08,0.9999999890064828,1.9956529736968405e-24,1.3314718737286934e-21,1.3457020723367119e-36
2025-09-23,1,bull,0.9999999828153251,1.718461244710902e-08,0.9999999828153251,9.607425906432141e-23,1.8167624962678883e-17,3.916591831183414e-39
2025-09-24,1,bull,0.9999941676980602,5.832301672068746e-06,0.9999941676980602,1.606608130204073e-19,3.0407841166238294e-13,3.721152855995141e-24
2025-09-25,1,bull,0.9958013336621613,0.004198459573366728,0.9958013336621613,3.8052917816910474e-22,3.056271264238417e-08,1.7620172838993987e-07
2025-09-26,4,low-volatility,0.8325620731175413,0.00030663999776498266,0.16712369642080543,4.8156300045935545e-24,7.59046388351135e-06,0.8325620731175413
2025-09-27,4,low-volatility,0.9926420000571342,0.0010218205456128159,0.0063356828469139145,7.830897208558518e-28,4.965504474477289e-07,0.9926420000571342
2025-09-28,4,low-volatility,0.9992613043237133,0.0005319046723636642,0.0002011631424503133,7.5910280950683415e-28,5.627861398778223e-06,0.9992613043237133
2025-09-29,4,low-volatility,0.9975370945117394,0.0023663814133168736,2.3193060852182952e-05,1.680684231658769e-27,7.333101405811979e-05,0.9975370945117394
2025-09-30,4,low-volatility,0.9706553413573764,0.027920555780516873,0.00019844253698583311,7.140740650788786e-28,0.0012256603251283517,0.9706553413573764
2025-10-01,0,bear,0.991032275836837,0.991032275836837,6.647361207291342e-05,3.910401156952049e-21,0.008901249542109626,1.0088697561491548e-09
2025-10-02,3,sideways,0.9592385308240253,0.040755346331758376,6.122842399548382e-06,2.4021078777491488e-17,0.9592385308240253,1.7590104918326215e-12
2025-10-03,3,sideways,0.9986656123025381,0.0013339770286540584,4.106686957549154e-07,4.8394670219587185e-18,0.9986656123025381,3.8626137006791455e-16
2025-10-04,3,sideways,0.999822872676418,0.0001770498291794011,7.749448452636885e-08,3.4507221065390003e-18,0.999822872676418,3.900577207362333e-16
2025-10-05,3,sideways,0.9998260188296947,0.00017397754296572383,3.6272753813413205e-09,9.79690863925106e-20,0.9998260188296947,1.3025711213922892e-15
2025-10-06,3,sideways,0.9999819023233262,1.8097675772244095e-05,8.498315742404769e-13,2.1961673836285804e-20,0.9999819023233262,8.394306758969037e-27
2025-10-07,3,sideways,0.9999998361484038,1.6385119907503784e-07,5.019623371373751e-13,5.4306860752476305e-22,0.9999998361484038,1.712013423904735e-31
2025-10-08,3,sideways,0.9999964088488831,3.591122529245513e-06,2.8526000686121918e-11,3.2047260838079956e-22,0.9999964088488831,1.2416580466708048e-23
2025-10-09,3,sideways,0.9999950337133298,4.966286412322078e-06,1.5534042141653708e-13,1.4031483714595936e-23,0.9999950337133298,1.1355202793289836e-27
2025-10-10,3,sideways,0.9999992507828743,7.492171091711935e-07,3.3849959951848324e-17,5.660848734080718e-25,0.9999992507828743,1.1345490345083489e-33
2025-10-11,3,sideways,0.9999999093993251,9.060077701390363e-08,7.789532817560107e-18,1.0044547332003495e-27,0.9999999093993251,7.2335886706854305e-34
2025-10-12,3,sideways,0.9999999036144847,9.638544963403328e-08,4.4367802738149983e-16,2.0144509238467788e-28,0.9999999036144847,1.1734417509893297e-29
2025-10-13,3,sideways,0.9999992507692319,7.492307198060515e-07,7.676678066082588e-17,2.29748193868201e-28,0.9999992507692319,1.6038123638874808e-28
2025-10-14,3,sideways,0.9999995385284065,4.614715391742465e-07,2.012880731997317e-17,9.88513853893024e-30,0.9999995385284065,8.193002656685767e-28
2025-10-15,3,sideways,0.9999999991314326,8.686079459143121e-10,2.667152225453135e-17,5.592858790518604e-31,0.9999999991314326,3.492787438728224e-37
2025-10-16,3,sideways,0.9999999094714026,9.052848373055659e-08,4.57954149202214e-19,1.0883755887001003e-33,0.9999999094714026,6.126530035937727e-71
2025-10-17,3,sideways,0.9999999957303771,4.269711233567451e-09,2.8655293388660393e-23,2.179980130471176e-32,0.9999999957303771,2.287272719558226e-75
2025-10-18,3,sideways,0.9999999993935944,6.06372155370164e-10,7.864278406085435e-22,1.4491784459155305e-35,0.9999999993935944,3.133974712650335e-78
2025-10-19,3,sideways,0.9999999988519903,1.1479998951126724e-09,1.7754490688196612e-22,7.521321788541066e-34,0.9999999988519903,3.4251493510120966e-79
2025-10-20,3,sideways,0.999999999626425,3.736339653576046e-10,3.926438523326082e-23,7.52710796587098e-34,0.999999999626425,7.173873633345132e-86
2025-10-21,3,sideways,0.9999999963472419,3.6526989250192262e-09,4.5406243915609196e-23,8.571425345162405e-35,0.9999999963472419,4.270126528577334e-69
2025-10-22,3,sideways,0.9999999994454356,5.545858561649999e-10,4.985102263597924e-27,2.053115917608997e-35,0.9999999994454356,3.76550490301478e-80
2025-10-23,3,sideways,0.9999999999383817,6.160173020678694e-11,1.911727777321044e-19,5.075788791255063e-37,0.9999999999383817,1.8048546807985563e-68
2025-10-24,3,sideways,0.999999981711426,1.8288631411950365e-08,3.2642970483850265e-17,9.364099582012037e-31,0.999999981711426,3.5710971246715416e-52
2025-10-25,3,sideways,0.9999988534231968,1.146576877886141e-06,1.1099764519115593e-15,4.744634941280327e-29,0.9999988534231968,2.28414910944097e-40
2025-10-26,3,sideways,0.9999905844847373,9.415515237609954e-06,1.6852805216275707e-14,1.6968603117832174e-29,0.9999905844847373,2.0305589230993176e-37
2025-10-27,3,sideways,0.9999985595792538,1.440420648538439e-06,6.748917665965702e-19,1.9842831091393542e-28,0.9999985595792538,1.637742832169501e-49
2025-10-28,3,sideways,0.9999995105921532,4.894079390546182e-07,2.638945205378512e-21,1.30592688852434e-32,0.9999995105921532,2.5290709966269337e-50
2025-10-29,3,sideways,0.999999785787418,2.1421249504313834e-07,2.0513085639179732e-21,6.387659153189621e-35,0.999999785787418,4.100207736918414e-53
2025-10-30,3,sideways,0.9999994448111642,5.551887494232228e-07,8.270971129632834e-16,3.470194544814866e-34,0.9999994448111642,3.1126221280396234e-44
2025-10-31,3,sideways,0.9999818200898986,1.817990935530521e-05,6.926547003592335e-13,8.194628310572612e-28,0.9999818200898986,3.93532010516233e-27
2025-11-01,3,sideways,0.999919088642402,8.091135694178563e-05,6.051548519667228e-13,1.221304753882941e-28,0.999919088642402,1.4621936016860273e-23
2025-11-02,3,sideways,0.9998112878811412,0.00018871200988214404,1.0903484339680094e-10,1.167399517041041e-26,0.9998112878811412,9.452871378758293e-19
2025-11-03,3,sideways,0.9999933176978161,6.682302291576818e-06,4.067352774676674e-18,1.0507758030499275e-22,0.9999933176978161,1.4246555028478791e-41
2025-11-04,3,sideways,0.9999999999602096,3.9674682427759385e-11,6.61302161491522e-14,2.0241549755768173e-28,0.9999999999602096,8.237034147714884e-54
2025-11-05,3,sideways,0.9999999988440322,1.1426919921810793e-09,1.3234549587171421e-11,4.446029786269087e-29,0.9999999988440322,2.7227803170135957e-62
2025-11-06,3,sideways,0.9999998431412801,1.5683331869684977e-07,2.5288895659132415e-11,9.513627206757561e-29,0.9999998431412801,2.199262347993203e-59
2025-11-07,3,sideways,0.9999999549024788,4.509465029958175e-08,2.8449848494574845e-12,3.491970093124826e-27,0.9999999549024788,9.591225887723915e-69
2025-11-08,3,sideways,0.9999999851702341,1.4820125485762228e-08,9.572271040888408e-12,9.044632154592272e-29,0.9999999851702341,1.3760609528842358e-69
2025-11-09,3,sideways,0.9999999581275469,4.186894354800073e-08,3.5423529132221398e-12,2.311424530415001e-27,0.9999999581275469,1.19192322474373e-74
2025-11-10,3,sideways,0.9999999788044536,2.113024196115666e-08,6.540883798550836e-11,4.077921710115407e-28,0.9999999788044536,3.993603352779357e-65
2025-11-11,3,sideways,0.9999998045405127,1.9545832069654073e-07,1.2207343955546188e-12,5.13680632351425e-27,0.9999998045405127,2.0053637695922965e-70
2025-11-12,3,sideways,0.9999999943440798,5.655986431449211e-09,3.906561845953549e-14,1.4741443993892686e-27,0.9999999943440798,1.352359116900341e-73
