date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-12-24,0,sideways,1.0,1.0,0.0,3.0378553343993126e-259
2025-12-25,0,sideways,1.0,1.0,0.0,3.0577786980664787e-259
2025-12-26,0,sideways,1.0,1.0,0.0,2.329251352238038e-259
2025-12-27,0,sideways,1.0,1.0,0.0,2.3258230053792667e-259
2025-12-28,0,sideways,1.0,1.0,0.0,3.297583673068816e-260
2025-12-29,0,sideways,1.0,1.0,0.0,3.344638811050184e-260
2025-12-30,0,sideways,1.0,1.0,0.0,3.2577298071851014e-260
2025-12-31,0,sideways,1.0,1.0,0.0,1.7400690909022817e-259
2026-01-01,0,sideways,1.0,1.0,0.0,8.053374701478586e-262
2026-01-02,0,sideways,1.0,1.0,0.0,1.5422359251968083e-261
2026-01-03,0,sideways,1.0,1.0,0.0,6.038786793696805e-262
2026-01-04,0,sideways,1.0,1.0,0.0,1.1870126604892998e-261
2026-01-05,0,sideways,1.0,1.0,0.0,8.195664759727687e-263
2026-01-06,0,sideways,1.0,1.0,0.0,1.1488625847474377e-261
2026-01-07,0,sideways,1.0,1.0,0.0,3.224337631002272e-263
2026-01-08,0,sideways,1.0,1.0,0.0,1.023209246074219e-262
2026-01-09,0,sideways,1.0,1.0,0.0,6.369605984491668e-263
2026-01-10,0,sideways,1.0,1.0,0.0,2.4215470103506523e-263
2026-01-11,0,sideways,1.0,1.0,0.0,5.2833928289747206e-263
2026-01-12,0,sideways,1.0,1.0,0.0,9.436384314084794e-263
2026-01-13,0,sideways,1.0,1.0,0.0,9.062004385873482e-263
2026-01-14,0,sideways,1.0,1.0,0.0,1.7285756389491328e-261
2026-01-15,0,sideways,1.0,1.0,0.0,1.0164588264322738e-260
2026-01-16,0,sideways,1.0,1.0,0.0,5.990416388926677e-261
2026-01-17,0,sideways,1.0,1.0,0.0,2.205536588287493e-260
2026-01-18,0,sideways,1.0,1.0,0.0,1.666331947270036e-261
2026-01-19,0,sideways,1.0,1.0,0.0,1.8389006851051795e-261
2026-01-20,0,sideways,1.0,1.0,0.0,9.608175803084293e-256
2026-01-21,0,sideways,1.0,1.0,0.0,8.375702112822335e-256
2026-01-22,0,sideways,1.0,1.0,0.0,4.480722945773638e-256
2026-01-23,0,sideways,1.0,1.0,0.0,2.558842788240819e-257
2026-01-24,0,sideways,1.0,1.0,0.0,4.255585141273435e-257
2026-01-25,0,sideways,1.0,1.0,0.0,1.3574500926918466e-261
2026-01-26,0,sideways,1.0,1.0,0.0,1.707706716812014e-258
2026-01-27,0,sideways,1.0,1.0,0.0,4.151923393333935e-257
2026-01-28,0,sideways,1.0,1.0,0.0,7.93234396313165e-260
2026-01-29,0,sideways,1.0,1.0,0.0,1.126575111338055e-260
2026-01-30,0,sideways,1.0,1.0,0.0,2.2719976847198053e-262
2026-01-31,0,sideways,1.0,1.0,0.0,4.60696090252215e-262
2026-02-01,0,sideways,1.0,1.0,0.0,1.5199566690479786e-260
2026-02-02,0,sideways,1.0,1.0,0.0,1.210152750897225e-261
2026-02-03,0,sideways,1.0,1.0,0.0,2.8867449407032884e-267
