date,state,regime,confidence,prob_sideways,prob_bear,prob_high-volatility,prob_bull,prob_low-volatility
2025-07-07,3,bull,1.0,2.172878461881249e-76,2.7440337527795384e-33,1.1604679783398231e-46,1.0,1.2822269741684874e-27
2025-07-08,3,bull,1.0,8.394948465959724e-70,1.2822269742215486e-27,4.100103320792475e-43,1.0,1.0923266879333286e-24
2025-07-09,3,bull,1.0,9.94048671606273e-61,1.0923267739254561e-24,6.325808811756689e-40,1.0,5.021822305851298e-25
2025-07-10,3,bull,1.0,9.32514380268453e-60,5.022543954915993e-25,6.666885488860963e-39,1.0,8.64148226380167e-24
2025-07-11,3,bull,1.0,1.867915500470914e-58,8.641551710482928e-24,8.571209153200753e-38,1.0,1.548065326429387e-23
2025-07-12,3,bull,1.0,2.6688788753587505e-58,1.5481940193579093e-23,2.458473471847925e-47,1.0,1.4437443519600014e-29
2025-07-13,3,bull,1.0,1.1913241404959973e-56,1.878860541732601e-33,2.887214913314434e-47,1.0,2.3646273817680897e-15
2025-07-14,4,low-volatility,0.9999999998840394,9.354408981192745e-33,1.1342075841372468e-34,2.75284373931854e-47,1.1603982984548072e-10,0.9999999998840394
2025-07-15,4,low-volatility,1.0,1.6479919816479667e-23,1.010012760982521e-25,1.516320421991578e-32,3.256882862967956e-17,1.0
2025-07-16,4,low-volatility,1.0,1.5264000656530708e-21,1.2158276453424016e-24,6.620880655951881e-32,2.998541487747682e-23,1.0
2025-07-17,4,low-volatility,1.0,4.2621727619976216e-18,8.003508638680266e-25,7.637713460696783e-35,1.2158998821078008e-24,1.0
2025-07-18,4,low-volatility,1.0,1.7692434941145986e-18,6.813770260969903e-29,3.38451912153612e-35,9.217245771594202e-25,1.0
2025-07-19,4,low-volatility,1.0,5.797373251654756e-18,2.917477952061519e-29,2.0203446439462683e-34,2.5338383683379206e-26,1.0
2025-07-20,4,low-volatility,1.0,2.0693464575479356e-18,1.6827787217629618e-28,3.1952774340387833e-35,1.5255442337063578e-25,1.0
2025-07-21,4,low-volatility,1.0,2.314296262415492e-18,3.128359250356968e-29,6.5200757081069e-38,5.427432461179028e-26,1.0
2025-07-22,4,low-volatility,1.0,1.6972584559898573e-18,5.707118939611666e-32,5.0480586320017e-44,3.019685986133066e-26,1.0
2025-07-23,4,low-volatility,1.0,2.076317250096369e-20,4.856923627790659e-38,1.3559913071681662e-42,9.298095583228193e-28,1.0
2025-07-24,4,low-volatility,1.0,1.3906076883563644e-20,3.962437894503066e-37,4.186075319250862e-39,5.863486055191266e-29,1.0
2025-07-25,4,low-volatility,1.0,4.494983589832713e-18,2.863718378020536e-33,2.0723405878500234e-50,1.9178306949869689e-29,1.0
2025-07-26,4,low-volatility,1.0,3.2927779632187644e-23,2.5934472299457333e-43,1.6907058259357626e-48,3.285737845920957e-27,1.0
2025-07-27,4,low-volatility,1.0,4.4444083265101925e-23,7.297447729533088e-43,8.9801896428432e-49,1.7310125830174116e-35,1.0
2025-07-28,4,low-volatility,1.0,3.3953760365787545e-26,6.634889624320449e-43,5.914527882139224e-51,7.799824888872627e-34,1.0
2025-07-29,4,low-volatility,1.0,1.67806736627753e-38,1.325184113426259e-44,2.0403824659285308e-57,1.023552454884311e-36,1.0
2025-07-30,4,low-volatility,1.0,4.844896172031627e-25,1.055947421108606e-47,8.631959140696928e-56,1.270679443622188e-44,1.0
2025-07-31,4,low-volatility,1.0,4.127316084731536e-25,3.8130094134955135e-46,1.0198812302809589e-58,2.671100379258922e-40,1.0
2025-08-01,4,low-volatility,1.0,1.506296496733157e-20,1.3040010933937036e-43,1.8193582295907615e-56,7.447868801211977e-46,1.0
2025-08-02,4,low-volatility,1.0,3.8053480874519684e-19,1.9015270465167526e-37,1.654263981454367e-54,2.598170865499377e-41,1.0
2025-08-03,4,low-volatility,1.0,6.508326301409869e-19,1.3348400757824734e-35,4.396970687856526e-61,1.6889347475070762e-37,1.0
