date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-06-15,1,high-volatility,1.0,4.740842952240867e-26,1.0,1.1168198781677541e-16,2.3838274789437323e-50
2025-06-16,1,high-volatility,1.0,3.8830515569344546e-29,1.0,7.48270869207742e-14,4.922171025306382e-49
2025-06-17,1,high-volatility,0.9999999999995453,1.0846363581878444e-27,0.9999999999995453,3.6220017839473026e-13,4.558344815044107e-48
2025-06-18,1,high-volatility,1.0,2.977342889247558e-27,1.0,1.2369842023866212e-14,2.541797881610453e-54
2025-06-19,1,high-volatility,1.0,7.483276290934062e-28,1.0,2.9778464775075383e-14,2.236121903221825e-56
2025-06-20,1,high-volatility,0.9999999999995453,7.379247943765234e-24,0.9999999999995453,4.23388976068809e-13,2.946075069890703e-57
2025-06-21,1,high-volatility,1.0,4.518781866346153e-19,1.0,4.706107639856842e-16,2.1067241468119826e-110
2025-06-22,1,high-volatility,0.9999991680100543,3.134862873323174e-17,0.9999991680100543,8.319899611043874e-07,1.0048444664747014e-45
2025-06-23,3,low-volatility,0.9982304010684054,6.3408219595258e-07,0.0017689648493536202,4.055060948621441e-20,0.9982304010684054
2025-06-24,3,low-volatility,0.999655360866769,2.441362823836221e-12,0.000344639130833571,1.0361280877794124e-21,0.999655360866769
2025-06-25,1,high-volatility,0.9999999999972715,1.2217141845133225e-12,0.9999999999972715,1.4730200319995225e-12,2.241056513528888e-18
2025-06-26,1,high-volatility,0.9999999995343387,8.882762250267178e-15,0.9999999995343387,4.6557240891051717e-10,3.013390254053843e-32
2025-06-27,1,high-volatility,0.9999999994579412,2.816502600174228e-17,0.9999999994579412,5.420445855274296e-10,3.4852455686222526e-25
2025-06-28,1,high-volatility,0.999999999673264,8.73362105028037e-21,0.999999999673264,3.2662740050898045e-10,7.603590789898917e-33
2025-06-29,1,high-volatility,0.9999999999915872,4.804001268473259e-20,0.9999999999915872,8.397286726671754e-12,8.664886280924933e-21
2025-06-30,1,high-volatility,0.9999999915537501,5.543642639591871e-22,0.9999999915537501,8.446171966453381e-09,2.419931425199683e-35
2025-07-01,1,high-volatility,0.9999999963790742,2.2144332977229212e-21,0.9999999963790742,3.620833456896308e-09,5.0545433375312e-51
2025-07-02,1,high-volatility,0.9999998985715643,3.3374041833818936e-24,0.9999998985715643,1.0142837162423236e-07,2.5422656718039475e-84
2025-07-03,1,high-volatility,0.9999999945221134,1.0703308176015538e-21,0.9999999945221134,5.477892414755477e-09,1.5656780918308067e-76
2025-07-04,1,high-volatility,0.9999997553329949,2.4335325923461875e-21,0.9999997553329949,2.446670903508028e-07,1.7946223946302268e-83
2025-07-05,1,high-volatility,0.9999998070479892,6.576026727245143e-22,0.9999998070479892,1.9295203819895366e-07,3.3227156943745935e-105
2025-07-06,1,high-volatility,0.9999999235749357,6.859969626259787e-22,0.9999999235749357,7.642501131859817e-08,6.878733812307861e-99
