date,state,regime,confidence,prob_bull,prob_high-volatility,prob_low-volatility,prob_bear
2025-07-12,2,low-volatility,0.9999999999988631,1.2194742682403526e-12,7.280028865903548e-30,0.9999999999988631,0.0
2025-07-13,2,low-volatility,0.9999999434560338,5.6544029506551715e-08,1.0044074562959361e-23,0.9999999434560338,0.0
2025-07-14,2,low-volatility,0.8042557389735245,0.1957442610264942,6.245318736303625e-36,0.8042557389735245,0.0
2025-07-15,2,low-volatility,0.47927967595377524,0.5207203240462798,4.588990648198383e-45,0.47927967595377524,0.0
2025-07-16,0,bull,0.991810436052867,0.991810436052867,3.688207164064336e-81,0.00818956394707891,0.0
2025-07-17,0,bull,0.9996709323292304,0.9996709323292304,5.205894722044717e-77,0.0003290676708553415,0.0
2025-07-18,0,bull,0.9999500108447948,0.9999500108447948,2.14082475107046e-79,4.998915510396703e-05,0.0
2025-07-19,0,bull,0.9999396102512011,0.9999396102512011,9.36780587267072e-83,6.038974891004492e-05,0.0
2025-07-20,0,bull,0.9999501884250054,0.9999501884250054,1.2708460591367482e-75,4.981157497052789e-05,0.0
2025-07-21,0,bull,0.9999435993507698,0.9999435993507698,3.950886608346245e-74,5.6400649330368305e-05,0.0
2025-07-22,0,bull,0.9999333212823343,0.9999333212823343,1.4113021288662742e-69,6.667871757800068e-05,0.0
2025-07-23,0,bull,0.9999999811914224,0.9999999811914224,2.432398745211536e-109,1.8808686319718666e-08,0.0
2025-07-24,0,bull,0.9999999839569683,0.9999999839569683,8.239074878327405e-115,1.604303743139556e-08,0.0
2025-07-25,0,bull,0.9999999692756778,0.9999999692756778,4.8621528148738065e-113,3.072438665202558e-08,0.0
2025-07-26,0,bull,0.99999996101974,0.99999996101974,2.9612170346597856e-117,3.898034834319071e-08,0.0
2025-07-27,0,bull,0.9998455348079436,0.9998455348079436,9.718508176689067e-151,0.00015446519196794567,0.0
2025-07-28,0,bull,0.9999061736950895,0.9999061736950895,7.902121812793456e-162,9.382630501355535e-05,0.0
2025-07-29,0,bull,0.9999904312686215,0.9999904312686215,1.3412729112727187e-151,9.568731313847672e-06,0.0
2025-07-30,0,bull,0.9999999228293776,0.9999999228293776,1.7496118439917945e-47,7.717065986874963e-08,0.0
2025-07-31,0,bull,0.9999999995570761,0.9999999995570761,1.0831209594590692e-43,4.428645772882238e-10,0.0
2025-08-01,0,bull,0.9999999998117346,0.9999999998117346,8.516903172392518e-47,1.8822531550326071e-10,0.0
2025-08-02,0,bull,0.9999999974149887,0.9999999974149887,3.0478693019738114e-31,2.585086673517599e-09,0.0
