Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Crude_Oil,1866,D6+D8+D9+D10,4,0.2,15.875,0.66,50.0,50.0,2
Crude_Oil,1866,D2+D7+D10,3,0.1,11.225,0.19,33.3,33.3,3
Crude_Oil,1866,D2+D3+D4,3,0.3,11.225,1.89,33.3,33.3,3
Crude_Oil,1866,D3+D6+D7,3,0.2,11.225,0.17,33.3,33.3,3
Crude_Oil,1866,D2+D4,2,0.3,11.225,1.89,33.3,33.3,3
Crude_Oil,1866,D7+D8,2,0.3,10.075,6.66,62.5,62.5,8
Crude_Oil,1866,D1+D5,2,0.2,9.929,1.74,33.3,33.3,3
Crude_Oil,1866,D1+D3+D5,3,0.2,9.929,1.74,33.3,33.3,3
Crude_Oil,1866,D1+D7+D10,3,0.1,9.871,3.14,37.5,37.5,8
Crude_Oil,1866,D3+D4+D7,3,0.2,9.165,0.17,25.0,25.0,4
Crude_Oil,1866,D1+D2+D4+D5,4,0.2,8.207,1.74,25.0,25.0,4
Crude_Oil,1866,D1+D7+D8+D10,4,0.1,7.346,1.79,28.6,28.6,7
Crude_Oil,1866,D2+D5+D6+D9,4,0.1,7.22,2.99,50.0,50.0,6
Crude_Oil,1866,D1+D3,2,0.3,6.661,3.72,42.9,42.9,7
Crude_Oil,1866,D1+D2+D3,3,0.3,6.661,3.72,42.9,42.9,7
Crude_Oil,1866,D1+D2+D4,3,0.3,5.549,1.15,33.3,33.3,3
Crude_Oil,1866,D3+D7+D9+D10,4,0.1,5.125,3.01,25.0,25.0,8
Crude_Oil,1866,D8+D10,2,0.2,5.04,0.5,16.7,16.7,6
Crude_Oil,1866,D8+D9+D10,3,0.2,5.04,0.5,16.7,16.7,6
Crude_Oil,1866,D1+D2+D3+D6,4,0.2,4.858,3.42,50.0,50.0,8
Crude_Oil,1866,D5+D6,2,0.3,4.79,10.26,40.9,40.9,22
Crude_Oil,1866,D1+D5+D6+D9,4,0.1,4.676,2.54,30.0,30.0,10
Crude_Oil,1866,D2+D4,2,0.2,4.56,6.65,38.1,38.1,21
Crude_Oil,1866,D2+D3+D4,3,0.2,4.56,6.65,38.1,38.1,21
Crude_Oil,1866,D6+D9+D10,3,0.1,4.538,10.56,29.4,29.4,34
Crude_Oil,1866,D9+D10,2,0.3,4.508,6.24,40.0,40.0,15
Crude_Oil,1866,D4+D6+D9+D10,4,0.1,4.489,3.13,27.3,27.3,11
Crude_Oil,1866,D2+D8,2,0.1,4.361,3.32,31.2,31.2,16
Crude_Oil,1866,D2+D5+D8,3,0.1,4.361,3.32,31.2,31.2,16
Crude_Oil,1866,D1+D2+D6,3,0.2,4.318,2.97,33.3,33.3,12
Crude_Oil,1866,D1+D2+D3+D4,4,0.2,4.211,5.82,33.3,33.3,18
Crude_Oil,1866,D5+D6+D8+D10,4,0.1,4.183,5.97,40.0,40.0,15
Crude_Oil,1866,D1+D3+D4+D5,4,0.2,3.867,1.05,20.0,20.0,5
Crude_Oil,1866,D4+D7+D9+D10,4,0.1,3.858,2.95,23.1,23.1,13
Crude_Oil,1866,D2+D3+D5,3,0.2,3.716,3.81,40.0,40.0,15
Crude_Oil,1866,D5+D6+D9+D10,4,0.1,3.468,6.39,35.0,35.0,20
